이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
양자암호/양자컴퓨팅,2.29,에이엘티,6.36,SK텔레콤,-3.32
반도체 대표주(생산),2.28,DB하이텍,6.43,삼성전자,0.0
전력저장장치(ESS),2.25,지투파워,13.7,SK이노베이션,-3.92
바이오인식(생체인식),2.24,에프에스티,20.8,동운아나텍,-6.21
SNS(소셜네트워크서비스),2.23,포니링크,8.21,NAVER,-1.34
드론(Drone),2.21,디티앤씨,8.43,코콤,-0.87
방위산업/전쟁 및 테러,2.18,한화,17.4,혜인,-4.43
스마트폰,2.18,알트,9.53,유티아이,-6.61
日 수출 규제(국산화 등),2.17,에스앤에스텍,5.75,풍원정밀,0.45
수소에너지(수소차/연료전지 등),2.17,미코,13.76,효성화학,-1.79
플렉서블 디스플레이,2.16,코오롱인더,9.74,유티아이,-6.61
전자파,2.15,켐트로닉스,5.56,잉크테크,-0.85
철도,2.13,현대제철,7.5,서암기계공업,-2.59
리모델링/인테리어,2.12,이건산업,29.96,에넥스,-1.72
조선,2.12,한화오션,3.84,HJ중공업,1.19
핀테크(FinTech),2.11,헥토파이낸셜,7.95,브리지텍,-2.38
야놀자(Yanolja),2.11,한화투자증권,3.71,SBI인베스트먼트,1.17
수자원(양적/질적 개선),2.09,대우건설,11.8,뉴보텍,-7.91
전기차,2.07,금호에이치티,29.94,SK이노베이션,-3.92
전기차(충전소/충전기),2.07,모트렉스,9.03,아이엘,-0.99
건설기계,2.06,삼미금속,8.53,혜인,-4.43
쿠팡(coupang),2.06,헥토파이낸셜,7.95,서울식품,-0.87
"스포츠행사 수혜(올림픽, 월드컵 등)",2.05,마니커,15.76,하이트진로,-0.84
무선충전기술,2.05,LG이노텍,5.61,위츠,-0.12
증권,2.04,한국금융지주,4.47,SK증권,-0.94
증강현실(AR),2.02,포니링크,8.21,동운아나텍,-6.21
페라이트,1.98,알엔투테크놀로지,11.16,케스피온,-2.12
OLED(유기 발광 다이오드),1.98,주성엔지니어링,7.71,LG화학,-3.66
NFT(대체불가토큰),1.96,갤럭시아머니트리,5.2,카카오게임즈,-1.96
전후 재건(우크라/중동 전쟁 등),1.93,현대건설,14.87,혜인,-4.43
탈 플라스틱(친환경/생분해성 등),1.91,한국팩키지,6.17,진영,0.0
UAM(도심항공모빌리티),1.91,현대건설,14.87,SK텔레콤,-3.32
광고,1.9,차이커뮤니케이션,29.9,매드업,-2.48
해저터널(지하화/지하도로 등),1.89,LS마린솔루션,4.74,한국선재,0.46
마이크로 LED,1.87,큐에스아이,5.39,영우디에스피,-2.7
3D 프린터,1.86,에스티아이,5.44,코렌텍,-0.63
출산장려정책,1.86,헝셩그룹,30.0,예림당,-7.47
교육/온라인 교육,1.86,비트플래닛,30.0,골드앤에스,-4.86
모듈러주택,1.85,에스와이,3.34,덕신이피씨,0.0
삼성페이,1.84,한국정보인증,5.98,제이케이시냅스,-4.75
은행,1.82,제주은행,3.66,카카오뱅크,0.0
카메라모듈/부품,1.81,LG이노텍,5.61,동운아나텍,-6.21
자동차부품,1.79,금호에이치티,29.94,보원케미칼,-4.87
모바일솔루션(스마트폰),1.79,포니링크,8.21,브레인즈컴퍼니,-5.24
인터넷은행,1.78,한국정보인증,5.98,브리지텍,-2.38
렌터카,1.74,롯데렌탈,2.71,레드캡투어,1.1
지역화폐,1.72,갤럭시아머니트리,5.2,유라클,-0.58
건설 중소형,1.71,까뮤이앤씨,7.51,대원,-0.61
퓨리오사AI,1.69,아이티센글로벌,6.86,토마토시스템,-1.87
남-북-러 가스관사업,1.66,KBI동양철관,3.3,동양에스텍,-1.62
냉각시스템(액침냉각 등),1.65,GS,6.28,SK이노베이션,-3.92
클라우드 컴퓨팅,1.64,비트플래닛,30.0,솔트룩스,-8.47
SI(시스템통합),1.63,비트플래닛,30.0,아이크래프트,-11.71
강관업체(Steel pipe),1.62,유에스티,4.25,이렘,-2.6
카카오뱅크(kakao BANK),1.62,한국금융지주,4.47,예스24,-0.31
코리아 밸류업 지수(Korea Value-up Index),1.6,한전기술,20.27,한미사이언스,-18.05
LED,1.58,금호에이치티,29.94,우리이앤엘하루틴,-5.0
철강 중소형,1.56,유에스티,4.25,동양에스텍,-1.62
손해보험,1.55,한화손해보험,5.2,서울보증보험,-1.05
NI(네트워크통합),1.54,인성정보,3.86,에스넷,-2.02
밸류업(24년 기업가치 제고계획 발표),1.47,한전기술,20.27,한미사이언스,-18.05
희귀금속(희토류 등),1.46,고려아연,6.18,우성머티리얼스,-1.09
종합상사,1.42,GS글로벌,3.66,LX인터내셔널,0.39
2차전지,1.39,나노팀,22.33,코이즈,-12.43
남북경협,1.37,현대건설,14.87,좋은사람들,-9.51
창투사,1.36,우리기술투자,15.84,캡스톤파트너스,-6.01
메타버스(Metaverse),1.36,SKAI,9.65,링크드,-2.8
여행,1.35,롯데관광개발,2.85,노랑풍선,-0.64
비철금속,1.33,풍산,6.57,국일신동,-3.38
지주사,1.32,한화,17.4,한미사이언스,-18.05
가상현실(VR),1.32,큐에스아이,5.39,동운아나텍,-6.21
타이어,1.29,코오롱인더,9.74,금호타이어,-2.64
재난/안전(지진/화재 등),1.26,삼일씨엔에스,5.94,하이드로리튬,-2.7
마켓컬리(kurly),1.26,우양,3.02,케이씨피드,-0.21
호텔/리조트,1.25,서부T&D,5.5,모나용평,-2.07
밸류업(25년 기업가치 제고계획 발표),1.22,현대건설,14.87,한미사이언스,-18.05
폴더블폰,1.19,코오롱인더,9.74,유티아이,-6.61
콜드체인(저온 유통),1.19,SCL사이언스,8.64,대한과학,-1.5
